experiment_id,baseline,seed,counterexample_mode,eta,hessian_bound_inflation,loading_level,trust_region_radius_rho_pu,uncertainty_scale,certified_false_accept_rate,overall_violation_rate,max_voltage_exceedance_pu,max_thermal_exceedance_percent,certified_coverage_rate,median_solve_time_seconds,p95_solve_time_seconds,nonconvex_escalation_ratio,runtime_reduction_vs_full_nonconvex_percent,compute_optimality_gap_J_pi_minus_J_pi_star,assumption_monitor_alert,delta,regime_buckets,rolling_window_steps,scaling_matrix_mode,update_cadence,target_delta,empirical_violation_rate_percent,coverage_error_pp,mean_utilization_percent,cvar95_violation_magnitude,calibration_overhead_percent,mean_solve_time_seconds,infeasible_interval_count,alpha,beta,customer_weight_scheme,disagreement_scale,gamma_risk_penalty,jain_index,gini_coefficient,worst_decile_curtailment_percent,overall_violation_rate_percent,welfare_objective_value,policy_regret_vs_pareto_frontier,runtime_seconds,dso_baseline_mode,harmonization_profile,solver_pair,stress_case,time_resolution,delta_tool_utilization_percent,delta_tool_violation_pp,shadow_benefit_B_shadow_percent,security_ranking_consistency,reproducibility_pass_rate_percent,mean_runtime_seconds,p95_runtime_seconds
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,none,0.005,2.0,0.6,0.01,1.0x,0.0,0.0001025783017595525,0.002706133620963935,0.0,0.88469078769637,11.043899016123985,14.90926367176738,0.11530921230363,15.046930645200106,0.08949442157171865,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,underestimated_L,0.010,3.0,1.0,0.02,1.2x,0.01870917907271588,0.01854098575557903,0.003645207270067541,6.878512795826663,0.7969964632409856,12.198754246502618,16.468318232778536,0.2030035367590144,6.1634288730567865,0.0330535040205178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,stale_J,0.020,1.0,1.3,0.05,1.5x,0.016590300998069518,0.015453005296844959,0.0034653340333036012,6.338636785859866,0.7439241038791965,12.085244063439035,16.3150794856427,0.2560758961208035,7.036584127392043,0.09649027055060226,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,trust_region_break,0.002,1.5,0.6,0.08,0.8x,0.014388978074158489,0.009845827562964302,0.002579779438573213,1.8694562846553333,0.6923897822964591,12.057992745099812,16.278290205884748,0.3076102177035409,7.246209653078372,0.04858868352624241,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,none,0.005,2.0,1.0,0.01,1.0x,0.0,0.0,0.0027668679220395434,0.0,0.9269174777018324,9.903014446374787,13.369069502605964,0.07308252229816758,23.822965797117025,0.0657327565388961,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,underestimated_L,0.010,3.0,1.3,0.02,1.2x,0.018154981426243725,0.020306688847826878,0.0036053111177047513,2.714657366664121,0.7812862642974886,11.77999576060461,15.902994276816225,0.2187137357025114,9.384647995349148,0.08089335615841785,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,stale_J,0.020,1.0,0.6,0.05,1.5x,0.01804295179554653,0.01878558901843507,0.0029132566000217284,0.0,0.7301516120893335,12.339525107365764,16.658358894943785,0.26984838791066645,5.080576097186428,0.0543083844238931,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,trust_region_break,0.002,1.5,1.0,0.08,0.8x,0.01737930366559099,0.018962716303077564,0.004385885130958638,6.11841020887687,0.7746577300998131,11.604483987409678,15.666053383003065,0.2253422699001869,10.734738558387091,0.08971294148992318,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,none,0.005,2.0,1.3,0.01,1.0x,0.0,0.0028670086933459053,0.0013469617705908616,3.057151870965402,0.9180833050060034,9.96720806418276,13.455730886646727,0.08191669499399656,23.329168737055696,0.07727859316499729,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-H1-CERTIFIED_TRIGGER_SECURITY,Full non-convex robust UTOPF (no screening),11,underestimated_L,0.010,3.0,0.6,0.02,1.2x,0.016248735959870097,0.018593304048055197,0.0028674704731780003,6.642584673191089,0.7602855455195296,11.724375124944933,15.82790641867566,0.23971445448047035,9.812499038885136,0.06963518284701799,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
